routeId,segmentIndex,lengthMeters,scopeClassification,coverageStatus,intersectionCount,validatorDecision,repairEligibility
sumida-river,0,353,terminal-exemption-zone,covered,0,pass,not-needed
sumida-river,1,607,riverbank-limited,covered,0,pass,not-needed
sumida-river,2,662,riverbank-limited,covered,0,pass,not-needed
sumida-river,3,536,riverbank-limited,covered,0,pass,not-needed
sumida-river,4,631,riverbank-limited,covered,0,pass,not-needed
sumida-river,5,581,riverbank-limited,covered,0,pass,not-needed
sumida-river,6,1064,canal-limited,covered,0,pass,not-needed
sumida-river,7,718,canal-limited,covered,0,pass,not-needed
sumida-river,8,396,canal-limited,covered,0,pass,not-needed
sumida-river,9,895,coastal-bay-supported,covered,0,pass,not-needed
sumida-river,10,282,coastal-bay-supported,covered,0,pass,not-needed
sumida-river,11,146,coastal-bay-supported,covered,0,pass,not-needed
sumida-river,12,97,coastal-bay-supported,covered,0,pass,not-needed
sumida-river,13,268,coastal-bay-supported,covered,1,needs-review,human-review-only
sumida-river,14,333,coastal-bay-supported,covered,0,needs-review,human-review-only
sumida-river,15,572,terminal-exemption-zone,covered,0,pass,not-needed
asakusa-odaiba-direct,0,353,terminal-exemption-zone,covered,0,pass,not-needed
asakusa-odaiba-direct,1,607,riverbank-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,2,662,riverbank-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,3,536,riverbank-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,4,631,riverbank-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,5,581,riverbank-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,6,1064,canal-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,7,718,canal-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,8,396,canal-limited,covered,0,pass,not-needed
asakusa-odaiba-direct,9,895,coastal-bay-supported,covered,0,pass,not-needed
asakusa-odaiba-direct,10,708,coastal-bay-supported,covered,0,pass,not-needed
asakusa-odaiba-direct,11,819,coastal-bay-supported,covered,1,needs-review,human-review-only
asakusa-odaiba-direct,12,781,coastal-bay-supported,covered,1,needs-review,human-review-only
asakusa-odaiba-direct,13,821,coastal-bay-supported,covered,0,pass,not-needed
asakusa-odaiba-direct,14,866,coastal-bay-supported,covered,0,pass,not-needed
asakusa-odaiba-direct,15,459,terminal-exemption-zone,covered,1,pass,not-needed
hinode-odaiba,0,927,terminal-exemption-zone,covered,1,pass,not-needed
hinode-odaiba,1,801,coastal-bay-supported,covered,0,pass,not-needed
hinode-odaiba,2,788,coastal-bay-supported,covered,0,pass,not-needed
hinode-odaiba,3,403,coastal-bay-supported,covered,1,needs-review,human-review-only
hinode-odaiba,4,954,coastal-bay-supported,covered,0,needs-review,human-review-only
hinode-odaiba,5,1329,terminal-exemption-zone,covered,1,pass,not-needed
hamarikyu,0,1615,terminal-exemption-zone,covered,0,pass,not-needed
hamarikyu,1,1745,riverbank-limited,covered,0,pass,not-needed
hamarikyu,2,2126,canal-limited,covered,0,pass,not-needed
hamarikyu,3,1011,coastal-bay-supported,covered,0,pass,not-needed
hamarikyu,4,146,coastal-bay-supported,covered,0,pass,not-needed
hamarikyu,5,97,coastal-bay-supported,covered,0,pass,not-needed
hamarikyu,6,268,inner-harbor-limited,covered,1,needs-review,human-review-only
hamarikyu,7,333,inner-harbor-limited,covered,0,needs-review,human-review-only
hamarikyu,8,572,terminal-exemption-zone,covered,0,pass,not-needed
hinode-toyosu,0,906,terminal-exemption-zone,covered,1,pass,not-needed
hinode-toyosu,1,874,canal-limited,covered,0,pass,not-needed
hinode-toyosu,2,817,canal-limited,covered,0,pass,not-needed
hinode-toyosu,3,697,terminal-exemption-zone,covered,0,pass,not-needed
mizube-line,0,895,terminal-exemption-zone,covered,0,pass,not-needed
mizube-line,1,933,riverbank-limited,covered,1,needs-review,human-review-only
mizube-line,2,307,riverbank-limited,covered,1,needs-review,human-review-only
mizube-line,3,1688,riverbank-limited,covered,0,pass,not-needed
mizube-line,4,2269,riverbank-limited,covered,0,pass,not-needed
mizube-line,5,1294,canal-limited,covered,0,pass,not-needed
mizube-line,6,1224,canal-limited,covered,0,pass,not-needed
mizube-line,7,1914,coastal-bay-supported,covered,0,pass,not-needed
mizube-line,8,1829,coastal-bay-supported,covered,0,pass,not-needed
mizube-line,9,1193,coastal-bay-supported,covered,1,needs-review,human-review-only
mizube-line,10,2112,coastal-bay-supported,covered,1,needs-review,human-review-only
mizube-line,11,2792,coastal-bay-supported,covered,1,needs-review,human-review-only
mizube-line,12,3361,terminal-exemption-zone,covered,0,pass,not-needed
